2021-05-30 14:29:09,b'@RichBarile You realize those lines are going down right? It will go with Bitcoin until it reaches a bottom around\xe2\x80\xa6 https://t.co/R1zGACFTis',b'JeanBaptistZorg'
2021-05-30 14:29:07,"b'If the neck breakage is calculated from the bones of the candles, it is $ 40,900 and this level corresponds to the\xe2\x80\xa6 https://t.co/a9XLuYySAC'",b'Chiefcrypto2'
2021-05-30 14:29:06,"b'\xe2\x80\x9cHarder, better, faster, stronger\xe2\x80\x9d ~Daft Punk \n~ #bitcoin maxis all day'",b'GVictoriaB'
2021-05-30 14:29:04,b'Bitcoin Market Overview https://t.co/RQ2sBbca8V https://t.co/xabws9tDmP',b'r_wajiha'
2021-05-30 14:29:04,b'@benkb28_ @beesidemyself @danielstorey85 Benham! Only for the amount of money he stands to gain from getting Brentf\xe2\x80\xa6 https://t.co/xpRVuTMEL0',b'SLJLon1991'
2021-05-30 14:29:04,"b""@DocumentingBTC @edcarpenter20 @JackMallers We don't  buy bitcoin\nWe earn bitcoin From Mining \nI'm ready to show 10\xe2\x80\xa6 https://t.co/FPctRUlT9d""",b'raferacrypto'
2021-05-30 14:29:03,b'$BTC bitcoin weekly https://t.co/mebLfLOiRv',b'vixsquared'
2021-05-30 14:29:01,"b'Shorted bitcoin, leverage 10x \nReason 1: Ichimoku cloud is right above the current price. 2: Trend is bearish 3. wh\xe2\x80\xa6 https://t.co/3FFMOxG9KC'",b'KurtVlam'
2021-05-30 14:29:01,b'The best way to get started is to quit talking and begin doing.\xe2\x80\x9d#bitcoin https://t.co/D63emZM9nV',b'samumagagula1'
2021-05-30 14:29:00,b'ALERT! MORE BAD NEWS FOR CYRPTO))\n SELL BITCOIN AND DOGECOIN NOW***\nChinese government effectively bans cryptocurre\xe2\x80\xa6 https://t.co/4eUYOKsein',b'jimmyblow5'
2021-05-30 14:28:58,"b'@BTCTN #Bitcoin has all the potential of an asset that can be saved, retrieved and exchanged at a later time, and b\xe2\x80\xa6 https://t.co/NrKUsZpiWI'",b'carrisamarie0'
2021-05-30 14:28:55,"b""@CLIMATECH2AMP $kishu @InuKishu #Kishu_Inu #KishuArmy \n$feg @fegtoken #IAMFEG  #FEG  #FEGTAKEOVER #FEGArmy \nDon't u\xe2\x80\xa6 https://t.co/CICy0w7BS3""",b'thecryptopuffin'
2021-05-30 14:28:53,b'@elonmusk any news on Bitcoin improving? Or Tesla accepting Doge?',b'waffles1878'
2021-05-30 14:28:52,b'@Bitcoin_K_S_A @CoinMENA Done \xe2\x9c\x85\xf0\x9f\x98\x83',b'aminabtc'
2021-05-30 14:28:50,"b""\xf0\x9f\xa4\x9d Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with\xe2\x80\xa6 https://t.co/yfJ3REmQcN""",b'BravoAlberth'
2021-05-30 14:28:50,b'@Bitboy_Crypto Real women dump their husbands and buy Bitcoin for themselves.\xf0\x9f\x98\x82',b'jadesy194'
2021-05-30 14:28:47,b'@michael_saylor Oh yes #Bitcoin #DFI  \xf0\x9f\x92\xaa @defichain \xf0\x9f\xa4\xaf\xf0\x9f\x92\xb3',b'any_sunrise'
2021-05-30 14:28:46,b'@APompliano I already know about #Bitcoin what else do I need to know?',b'DamnYeahCrypto'
2021-05-30 14:28:46,"b'@josecrespo___ @BTCTN #Bitcoin has all the potential of an asset that can be saved, retrieved and exchanged at a la\xe2\x80\xa6 https://t.co/WzS702xYAf'",b'carrisamarie0'
2021-05-30 14:28:46,b'#creamfields #Bitcoin #party #basefest #festivals #boomtown #EthereumClassic #FootballStars #cryptos #altcoin\xe2\x80\xa6 https://t.co/gGIk0TJFUf',b'dan60924888'
2021-05-30 14:28:44,"b""Will #Bitcoin reach $100,000 by the end of this year!\nFor me: I don't think so \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f""",b'Jasonwisely21'
2021-05-30 14:28:44,b'@05nelsonm_ @RoninMiner @surferjimw I can get anything to work really',b'BITCOIN_RAIL'
2021-05-30 14:28:42,"b""@DocumentingBTC We don't  buy bitcoin\nWe earn bitcoin From Mining \nI'm ready to show 10 lucky people on how to earn\xe2\x80\xa6 https://t.co/CZLiwuZIGq""",b'raferacrypto'
2021-05-30 14:28:40,b'Breaking Bitcoin\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8aThe $5 Billion Court Action That Could Change Crypto Forever by @GemJackson2 https://t.co/fdjRngGqXM',b'jesusju38359502'
2021-05-30 14:28:39,"b'@jevidon @MartyBent #Bitcoin is like an amoeba; surrounding and devouring threats, stretching out in varied directi\xe2\x80\xa6 https://t.co/gCcidDnkNW'",b'BFuniv'
2021-05-30 14:28:39,b'Thanks #Bitcoin for making me watch the #indy500 \xf0\x9f\x98\x8e',b'JsWaGoN77'
2021-05-30 14:28:39,b'@BarrySilbert @BillyM2k @UFMJA @ClayLambert20 @WayneVaughan Let Bitcoin destroy gold. Gold is what pollutes the env\xe2\x80\xa6 https://t.co/vQqooLS8Ah',b'sexman6688'
2021-05-30 14:28:38,"b'@BurgerCrisis @Shibro_ @ChainX_Lounge @CryptoMichNL No Burger, Shibro is a shill! Nothing has changed, 50% correcti\xe2\x80\xa6 https://t.co/uL60o5RWf1'",b'MarkRos19268558'
2021-05-30 14:28:36,b'\xe2\x80\x9cEvery dollar printed is a dollar stolen from you\xe2\x80\x9d #Bitcoin #btc #crypto',b'satosheesh'
2021-05-30 14:28:36,b'@CryptoWhale It\xe2\x80\x99s still a possibility let\xe2\x80\x99s just go ahead and get it over with #Bitcoin to find a bottom what the h\xe2\x80\xa6 https://t.co/Jqp6hS4tXu',b'ERC2OShitEater'
2021-05-30 14:28:36,"b'@TheCryptoLark All corrections and bearish trends eventually end, stay focused on the big game! #bitcoin #crypto'",b'TheCryptoLake_'
2021-05-30 14:28:35,"b'@MMCrypto Sorry, Bitcoin is going to the green areas like $20k ... it may bounce to $50 k (Blue area ... the end of\xe2\x80\xa6 https://t.co/H1xq5MQ8IP'",b'medallon007'
2021-05-30 14:28:34,b'@HaileyLennonBTC Over 90%+ Profits from #BTC signal within 1 hour. you can check the time of signal entry post when\xe2\x80\xa6 https://t.co/PULgJvHDdl',b'22_cryptohelp'
2021-05-30 14:28:32,b'@DanielKrawisz @CobraBitcoin @bitcoin_pizza @nntaleb @CoinMarketCap and pow is equally meaningless.',b'baclfoo'
2021-05-30 14:28:32,b'@nntaleb Would you be as interested in bitcoin if there was no price associated with it?\n\nCurious',b'signalclean'
2021-05-30 14:28:31,b'This!! @JD_2020 @barstoolsports @elonmusk @iamelf @joerogan @souljaboy @1goonrich @1053SS @JeffBezos #bezoge\xe2\x80\xa6 https://t.co/e09nMVtiZR',b'BoomstickMafia'
2021-05-30 14:28:30,"b'Bitcoin 2021, an annual Crypto conference, will hold in Miami with 12,000 attendees and keynote speakers which incl\xe2\x80\xa6 https://t.co/R2QybGD310'",b'Benjamininves'
2021-05-30 14:28:30,b'#dogecoin  ALERT! MORE BAD NEWS FOR CYRPTO\n SELL BITCOIN AND DOGECOIN NOW\nChinese government effectively bans crypt\xe2\x80\xa6 https://t.co/EMX6N9eOJt',b'jimmyblow5'
2021-05-30 14:28:29,"b'@martypartymusic @LewisHamilton @Bitcoin There\xe2\x80\x99s so much talk of it going lower 30, 28, 24, 20\xe2\x80\xa6 that I feel people\xe2\x80\xa6 https://t.co/ey4VwrISAz'",b'MMMurphy13'
2021-05-30 14:28:29,b'@obeyeurNFT The Birth of Bitcoin\xc2\xa0 \xe2\x9c\xa8\xf0\x9f\xa7\x9a https://t.co/PEFBOke4kC\n#nft #nftart #nftartist #nftcollector',b'NegarFakhar'
2021-05-30 14:28:28,b'@cameron @tyler Dear @cameron \nDear all charitable people\n\nI need money. This is very important for my life!..\n\nPle\xe2\x80\xa6 https://t.co/ifDXs3B9iW',b'AliAkta72061501'
2021-05-30 14:28:27,"b'PumaPay seeks scalability, dumps #Ethereum for Binance Smart Chain https://t.co/J9goRGR8A6\n\n#BSC #PumaPay\xe2\x80\xa6 https://t.co/C9sWTVm4jE'",b'MorningTick'
2021-05-30 14:28:27,b'#Online #marketingonline #NetworkingPays #Online #Marketing #Networking #incomeforlife  Check my website for\xe2\x80\xa6 https://t.co/sDE2lOtvm0',b'bmurphypointman'
2021-05-30 14:28:27,"b""@michael_saylor $kishu @InuKishu #Kishu_Inu #KishuArmy \n$feg @fegtoken #IAMFEG  #FEG  #FEGTAKEOVER #FEGArmy \nDon't\xe2\x80\xa6 https://t.co/JauZgDr41J""",b'thecryptopuffin'
2021-05-30 14:28:23,"b""@jbrownjib @michael_saylor We don't  buy bitcoin\nWe earn bitcoin From Mining \nI'm ready to show you and few lucky p\xe2\x80\xa6 https://t.co/8nb2rG6IKZ""",b'LeviDickens1'
2021-05-30 14:28:23,b'Massive bitcoin mine discovered in UK after police raid suspected cannabis farm  https://t.co/jsYfMpPQcv',b'motasim'
2021-05-30 14:28:20,b'#linkedin #twitter #facebook #instagram #tumblr #celebration #socialmedia #pinterest #google #deal #gift #gifts\xe2\x80\xa6 https://t.co/nUXJfDqaoy',b'bmurphypointman'
2021-05-30 14:28:20,b'#amazon #amazonprime #prime #amazonspecials #affiliateprogram  #bitcoin #affiliatemarketing #dogecoin Check my webs\xe2\x80\xa6 https://t.co/lqSFeWa2Ag',b'bmurphypointman'
2021-05-30 14:28:19,"b'For those of you who aren\xe2\x80\x99t heavy in crypto yet , use these next 3 to 6 months (bear market )to accumulate as much\xe2\x80\xa6 https://t.co/lnGAKCWaPK'",b'SathRam1'
2021-05-30 14:28:18,b'#affiliate #affiliatemarketing #affiliates #affiliateprogram  Check my website for  #crypto sites! #bitcoin\xe2\x80\xa6 https://t.co/9Um68MQt2G',b'bmurphypointman'
2021-05-30 14:28:18,b'@ClayLambert20 @BarrySilbert @BillyM2k @UFMJA @WayneVaughan Let Bitcoin destroy gold. Gold is what pollutes the env\xe2\x80\xa6 https://t.co/PMZTHhSadx',b'sexman6688'
2021-05-30 14:28:18,b'#earn #income #online #onlineearning #affiliatemarketing Check my #website #makemoney #earnmoney #affiliate\xe2\x80\xa6 https://t.co/f28bcTAtk3',b'bmurphypointman'
2021-05-30 14:28:16,b'@BitcoinNorth I doubt that very much my little Bitcoin warrior.',b'Londonjenny63'
2021-05-30 14:28:15,b'One leg up. \n\nNext leg down.\n\n\xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab\n#cryptocurrency #bitcoin \n\n$BTC',b'Shourya_34'
2021-05-30 14:28:15,b'When all-time high? Bitcoin traders lose confidence as BTC price slumps https://t.co/Ip6sOmTQTx',b'Donjuliozz'
2021-05-30 14:28:13,b'Holy shit! #bitcoin will reach $100.000 by the end of this year! https://t.co/QTNnIf6YX6 https://t.co/G6Xevw7j8c',b'heyfarkas'
2021-05-30 14:28:13,"b'#Bitcoin accelerates renewable energy without China, wait, wut? \xf0\x9f\x94\xa5\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f #ESG #cognitivedissonance #climatechange https://t.co/S0kb3KyQJq'",b'c4chaos'
2021-05-30 14:28:13,b'\xf0\x9f\xa4\xabARE WE HEADING TO 20k?\n\n$hbar #Bitcoin\xc2\xa0$BTC $eth $usdt $bnb $ada $xrp $doge $usdc $dot $uni $icp $bch $link $ltc\xe2\x80\xa6 https://t.co/jp0lF4CoRJ',b'TopAltcoin'
2021-05-30 14:28:13,b'@alexrashed131 \xf0\x9f\x92\x8e You will never miss a great opportunity of earning profits with @Libonomy.\xf0\x9f\x9a\x80\n\n#Libonomy #interoperable #bitcoin',b'Donna99657874'
2021-05-30 14:28:13,"b'If bitcoin drops to the $30,000 levels, a double bottom pattern is formed. One can calculate from the bones of the\xe2\x80\xa6 https://t.co/LkveFOiYAq'",b'Chiefcrypto2'
2021-05-30 14:28:12,b'@APompliano Over 90%+ Profits from #BTC signal within 1 hour. you can check the time of signal entry post when it w\xe2\x80\xa6 https://t.co/t71IpSQJty',b'gordonf71945674'
2021-05-30 14:28:09,b'You should be a millionair and have no any bitcoin.',b'bitgoosie'
2021-05-30 14:28:08,"b""@CryptoWhale And pompliano. Don't listen to him however, I like bitcoin as a technology, not a ponzi scheme""",b'ostelin5'
2021-05-30 14:28:08,"b'@VsBulls \xf0\x9f\x92\xa6 Ethereum is the dial-up internet of blockchain, @Libonomy  is the optical cable. Fast and interoperable.\xe2\x80\xa6 https://t.co/lTDzj5hYZ8'",b'JohnCraft126'
2021-05-30 14:28:07,b'@smashsixtyfour Well? What makes bitcoin unhackable???',b'SpongyJNE'
2021-05-30 14:28:05,b'@BarrySilbert @BillyM2k @UFMJA @ClayLambert20 @WayneVaughan I\xe2\x80\x99m new to crypto and You know as much as I think Bitco\xe2\x80\xa6 https://t.co/UeJIWaOeNs',b'ajay_usa2'
2021-05-30 14:28:05,b'#Bitcoin #BTC #Ethereum #DOGE #XRP #SEC #Fed #UnitedStates #Financial #Policy #Biden #altcoin #UnitedStates\xe2\x80\xa6 https://t.co/fTvRP7gZVM',b'ItconsultingL'
2021-05-30 14:28:02,b'2. One way street - I can deposit btc but have no avenue to withdraw. Someone out there is raining in #Bitcoin\n\nver\xe2\x80\xa6 https://t.co/fvi0hm7YpH',b'joshuasamuel91'
2021-05-30 14:28:01,b'@gumed85 @michael_saylor Lmao. I have no time to prove you wrong..stay with fiat and best of luck \xf0\x9f\x98\x82. All you need t\xe2\x80\xa6 https://t.co/NvvbZw6Hex',b'damrit1'
2021-05-30 14:28:00,b'@Davincij15 I think the problem with Bitcoin is like below. You will have people protesting about the environment.\xe2\x80\xa6 https://t.co/l7M4U3PFNV',b'Ario10940208'
2021-05-30 14:28:00,b'My crypto portfolio has the same free fall #Bitcoin https://t.co/aup6oODgy1',b'Shershaaah'
2021-05-30 14:27:58,"b'@HaileyLennonBTC I HODL only ALTcoins in my portfolio, is that really a thing to worry or HODling bitcoin is the wo\xe2\x80\xa6 https://t.co/ouYPeum311'",b'abd_tweets'
2021-05-30 14:27:58,"b'@Billbrowder The more wealthy crooks have sanctions put on them, the more money piles into Bitcoin. What a weird coincidence'",b'DonatoBardi'
2021-05-30 14:27:58,b'@BillyM2k @BarrySilbert @UFMJA @ClayLambert20 @WayneVaughan Agreed \xf0\x9f\x91\x8d with @BillyM2k \nBarry start the bear \xf0\x9f\x90\xbb market\xe2\x80\xa6 https://t.co/JpoiqecSYQ',b'CoinCryptoIndia'
2021-05-30 14:27:54,b'Big whales are buying huge amounts of #Bitcoin. This bullmarket has not even started. On chain data more bullish th\xe2\x80\xa6 https://t.co/Ilz9uf3GIE',b'akmanCapital'
2021-05-30 14:27:52,b'@RealJamesWoods Invest in Bitcoin',b'Toxic_Looter'
2021-05-30 14:27:52,b'Feels like today is going to be a \xe2\x80\x9ctoxic crypto Twitter environment\xe2\x80\x9d kinda day. \n\nJust waiting patiently for the da\xe2\x80\xa6 https://t.co/fUllbCnJjn',b'Crypto_TomBrom'
2021-05-30 14:27:50,"b'@surferjimw Buy bitcoin, go outside.'",b'HodlColorado'
2021-05-30 14:27:45,b'@GregHoggard @ShahafBenita @henleym25 @RedPillVegan @jimmysong I own Bitcoin &amp; Ethereum. Doesn\xe2\x80\x99t make what he said true.',b'EthereumUni'
2021-05-30 14:27:44,b'New airdrop : Bitcoin Pizza Night \nTelegram bot: \nhttps://t.co/jfFA0erfSH https://t.co/EMg7isp0Bk',b'captaincrypto_7'
2021-05-30 14:27:44,b'@LawrenceLepard @p1r473 BTC is not sound money.  Bitcoin is.  https://t.co/3o2gHZvm1T',b'glennmariano'
2021-05-30 14:27:42,b'@michael_saylor @michael_saylor thoughts on Ray Dalio buying #Bitcoin?\nhttps://t.co/jV36VpksXn',b'HassanAesthetic'
2021-05-30 14:27:42,b'Imagine being that #Bitcoin indy car driver and knowing that if you crash the car you will be responsible for killing bitcoin.. damn..',b'ArcticHodl'
2021-05-30 14:27:40,b'@HodlTarantula @MoparMining @Cryptic_Oz @MartyBent @OGBTC @RoninMiner @GAMdotAI @SGBarbour @Emperor_bitcoin\xe2\x80\xa6 https://t.co/RnTUmWphHS',b'BITCOIN_RAIL'
2021-05-30 14:27:40,"b'@balbiyad @CryptoWhale you not understand @CryptoWhale tweet about #BTC , he said that the bitcoin will fall under\xe2\x80\xa6 https://t.co/3qkuV3Yavq'",b'Bushaviot'
2021-05-30 14:27:39,"b'There are headlines out there that says #Bitcoin could \xe2\x80\x9ccrash to $20,000\xe2\x80\x9d. Even if true think about that conceptual\xe2\x80\xa6 https://t.co/vyjNAWx7fb'",b'HudsonFarWest'
2021-05-30 14:27:37,"b'@SlawTeh Looking at the boss , #Bitcoin  , since few days, a lot of things depend on his mood.'",b'Fakk2'
2021-05-30 14:27:36,"b'@AltcoinDailyio In the days the creators have launched a new #Bitcoin\nIt is digitally minable, maximally environmen\xe2\x80\xa6 https://t.co/82FwzmKYDg'",b'FuxreiterD'
2021-05-30 14:27:36,"b""@Ragnarly @MarathonDH @_benkaufman And Michael Saylor cooperates with Marathon. That's interesting. He is probably\xe2\x80\xa6 https://t.co/37gl3J8zky""",b'tpuzniakowski'
2021-05-30 14:27:36,b'@ColdBloodShill Most people don\xe2\x80\x99t want to learn sir. They just wanna see people with high following rate to post hi\xe2\x80\xa6 https://t.co/T6CrgPZ8ef',b'Jorn_broek'
2021-05-30 14:27:35,b'@SAfmnews @Eliot_syke has all it takes to turn things well for you with his company platform and strategy on Bitcoi\xe2\x80\xa6 https://t.co/aopWIRNF9q',b'_Kathy_31'
2021-05-30 14:27:34,"b'@michael_saylor The only real project where you can make it come true, rather than dreaming and waiting every day,\xe2\x80\xa6 https://t.co/HWufdAjidl'",b'flokygamess'
2021-05-30 14:27:32,b'@SAfmnews @Eliot_syke has all it takes to turn things well for you with his company platform and strategy on Bitcoi\xe2\x80\xa6 https://t.co/851RfTAHrY',b'_Kathy_31'
2021-05-30 14:27:32,b'@SAfmnews @Eliot_syke has all it takes to turn things well for you with his company platform and strategy on Bitcoi\xe2\x80\xa6 https://t.co/XzwoAI3Yuw',b'_Kathy_31'
2021-05-30 14:27:32,b'@SAfmnews @Eliot_syke has all it takes to turn things well for you with his company platform and strategy on Bitcoi\xe2\x80\xa6 https://t.co/2JU3c7NFCH',b'_Kathy_31'
2021-05-30 14:27:32,b'@Investingcom Bitcoin will moooon faster \xf0\x9f\x94\xa5',b'Theenesh6'
2021-05-30 14:27:31,"b'https://t.co/7iRj9ULQxj #BitcoinNews \xe2\x96\xba Brazilians Who Held $1,000 in Crypto Last Year Must Report It on Tax Returns\xe2\x80\xa6 https://t.co/FRxbDDypDy'",b'chainestate'
2021-05-30 14:27:31,b'Special thanks to: \n- Our sponsor @NYDIG_BTC; and\n- Everyone who listens and subscribes\n\n#WhatisMoney #Bitcoin',b'WhatisMoneyShow'
2021-05-30 14:27:30,"b'Did anyone notice, #Bitcoin falls exactly at the time #xrp gets a positive news. #xrp is being suppressed from a lo\xe2\x80\xa6 https://t.co/FaVxsy56sg'",b'kingSla86476590'
2021-05-30 14:27:27,"b'There\xe2\x80\x99s more wealth transfer than wealth creation in America today. Professional sports, @MLB @NBA @NHL @NFL all fo\xe2\x80\xa6 https://t.co/JHE1VBOFq2'",b'Tranquility1776'
2021-05-30 14:27:24,b'@LaserHodl #Bitcoin is already successful',b'APOSTOL111111'
2021-05-30 14:27:24,b'Buy bitcoin https://t.co/fw6FxyUjul',b'JAMESB0ONE'
2021-05-30 14:27:23,b'Why aliens have no interest in the human species/planet Earth\n\n-no interest in gold/silver. they have planets full\xe2\x80\xa6 https://t.co/ppOcvm2DKu',b'Alex_Hxrrison'
2021-05-30 14:27:22,"b'""Whether or not the proponents of either asset want to admit it, Gold and Bitcoin share many commonalities.""\n~\xe2\x80\xa6 https://t.co/RQGOFTXm5H'",b'jposhaughnessy'
2021-05-30 14:27:19,b'ALERT! MORE BAD NEWS FOR CYRPTO\n SELL BITCOIN AND DOGECOIN NOW***\nChinese government effectively bans cryptocurrenc\xe2\x80\xa6 https://t.co/3IjvD7g0Fw',b'jimmyblow5'
